Designator,Mid X,Mid Y,Rotation,Layer
C1,-56.82,26.086,90.0,top
C10,-39.04,45.263,90.0,top
C100,-59.36,26.1,90.0,top
C11,-41.960867,32.995916,0.0,top
C12,-37.516,42.215,90.0,top
C13,-37.516,45.263,90.0,top
C14,-48.692,43.612,180.0,top
C15,-50.47,37.897,180.0,top
C2,-56.82,29.134,90.0,top
C200,-45.517,31.801,180.0,top
C3,-53.645,37.516,270.0,top
C300,-40.62968,29.060988,270.0,top
C4,-53.645,40.564,90.0,top
C400,-59.36,29.148,90.0,top
C500,-42.469,45.136,90.0,top
C6,-41.837258,31.53504,0.0,top
C7,-42.85,48.184,90.0,top
C8,-38.913,47.549,0.0,top
C9,-37.389,36.627,270.0,top
D1,-79.68,66.726,180.0,top
D10,-74.6,41.58,180.0,top
D11,-79.426,39.04,0.0,top
D12,-74.6,39.04,180.0,top
D2,-79.68,64.186,180.0,top
D3,-41.58,66.726,180.0,top
D4,-41.58,64.186,180.0,top
D5,-41.58,61.646,180.0,top
D6,-41.58,59.106,180.0,top
D7,-50.216,57.074,90.0,top
D8,-47.676,57.074,90.0,top
D9,-79.426,41.58,0.0,top
R1,-67.615,45.771,90.0,top
R100,-52.375,51.105,0.0,top
R200,-52.375,52.629,180.0,top
R3,-41.326,48.184,270.0,top
R4,-40.691,45.136,270.0,top
R40,-67.742,38.786,270.0,top
R500,-39.167,30.277,270.0,top
U1,-51.486,27.61,180.0,top
U10,-64.592,27.624,180.0,top
U3,-42.845,38.791,0.0,top
U4,-49.073,47.422,270.0,top
Y1,-43.485,29.007,0.0,top
